stock;volume;open;high;low;close;date;indexx
AALBERTS NV;178240;30.7;31.26;30.42;31.26;02-10-2020;AMX
AALBERTS NV;244456;31.02;31.37;30.7;31.07;01-10-2020;AMX
AALBERTS NV;177997;30.25;31.18;30.09;30.82;30-09-2020;AMX
AALBERTS NV;270886;30.47;30.9;30.34;30.45;29-09-2020;AMX
AALBERTS NV;381867;29.88;30.65;29.43;30.65;28-09-2020;AMX
AALBERTS NV;336536;30.36;30.48;29.31;29.33;25-09-2020;AMX
AALBERTS NV;258235;30.56;30.98;30.09;30.31;24-09-2020;AMX
AALBERTS NV;137821;31.21;31.95;31.19;31.19;23-09-2020;AMX
AALBERTS NV;187252;31.0;31.46;30.76;31.07;22-09-2020;AMX
AALBERTS NV;341018;31.56;31.56;30.63;30.84;21-09-2020;AMX
AALBERTS NV;410321;32.51;32.58;31.8;31.9;18-09-2020;AMX
AALBERTS NV;88441;32.23;32.57;32.15;32.47;17-09-2020;AMX
AALBERTS NV;163109;32.0;32.53;31.88;32.53;16-09-2020;AMX
AALBERTS NV;183509;31.84;32.31;31.84;32.03;15-09-2020;AMX
AALBERTS NV;238096;32.73;32.76;31.81;31.92;14-09-2020;AMX
AALBERTS NV;148668;31.8;32.47;31.62;32.31;11-09-2020;AMX
AALBERTS NV;191931;32.52;32.59;32.09;32.17;10-09-2020;AMX
AALBERTS NV;245868;31.57;32.62;31.49;32.42;09-09-2020;AMX
AALBERTS NV;170545;32.0;32.14;31.11;31.62;08-09-2020;AMX
AALBERTS NV;174684;31.5;32.09;31.5;31.89;07-09-2020;AMX
AALBERTS NV;286174;30.99;31.92;30.7;31.24;04-09-2020;AMX
AALBERTS NV;313322;31.62;32.02;30.99;31.13;03-09-2020;AMX
AALBERTS NV;569643;31.77;32.02;31.12;31.49;02-09-2020;AMX
AALBERTS NV;172136;31.7;32.17;31.18;31.58;01-09-2020;AMX
AALBERTS NV;170402;32.27;32.57;31.56;31.64;31-08-2020;AMX
AALBERTS NV;147002;32.61;32.61;31.97;32.1;28-08-2020;AMX
AALBERTS NV;156157;32.61;32.89;32.28;32.4;27-08-2020;AMX
